Potential File,Element,Dimensions,Lattice Parameter (in Å), Cohesive Energy
FeCuNi-with-ZBL.eam.alloy.setfl,Fe,10,2.85532440203659,-4.12243510045187
FeNiCrCoCu-heamix.eam.alloy.setfl,Fe,10,2.86034073974373,-4.30094166658984
FeNiCrCoCu-with-ZBL.eam.alloy.setfl,Fe,10,2.86034202841672,-4.30094166523849
FeNiCrCoTi-heamix.setfl.setfl,Fe,10,2.86034127957068,-4.30094167540119
FeNiCr_Bonny_2013_ptDef.eam.alloy.setfl,Fe,10,2.85999884215379,-4.28029397465166
FeNiCr_Foster_Sills.setfl,Fe,10,2.86674574667873,-4.28031752448254
Potential File,Element,Dimensions,Lattice Parameter (in Å), Cohesive Energy
FeCuNi-with-ZBL.eam.alloy.setfl,Fe,10,2.85532440203659,-4.12243510045187
FeNiCrCoCu-heamix.eam.alloy.setfl,Fe,10,2.86034073974373,-4.30094166658984
FeNiCrCoCu-with-ZBL.eam.alloy.setfl,Fe,10,2.86034202841672,-4.30094166523849
FeNiCrCoTi-heamix.setfl.setfl,Fe,10,2.86034127957068,-4.30094167540119
FeNiCr_Bonny_2013_ptDef.eam.alloy.setfl,Fe,10,2.85999884215379,-4.28029397465166
FeNiCr_Foster_Sills.setfl,Fe,10,2.86674574667873,-4.28031752448254
